# ABR corpus record ledger — ANALYST-published derived artifact.
#
# Derived from the licensed .abr fixture corpus described in
# thoughts/docs/paged/plugin-image/abr-brush-format-spec.md §13.3, by an
# ANALYST-role session under the clean-room two-role protocol (plugin-
# image/CLAUDE.md §3.1). Contains only FACTS ABOUT BEHAVIOUR — counts, key
# names, OSTypes, unit codes, dimensions and cryptographic digests. It
# contains no corpus bytes, no third-party artwork, and nothing derived from
# the reference implementation mounted at references/ag-psd. IMPLEMENTER-
# LEGAL: consuming this file is not reading references/.
#
# One row per sampled-tip record, in file order. `sha256` is the SHA-256
# of the DECODED coverage mask (row-major, one byte per pixel, exactly
# w*h bytes, NOT inverted). `png_oracle` names the independently
# published transparent PNG whose ALPHA CHANNEL hashes to the same
# value — the artefact that settles polarity (spec §2.5).
#
# A digest is a one-way function of the artwork: it pins the decode
# exactly while carrying none of the picture. That is what makes this
# file publishable where the corpus itself is gitignored.
#
# Regenerate: ANALYST role only, with references/abr-fixtures/ mounted.
#
file	index	id	declared_len	pad_len	array_count	written_planes	top	left	bottom	right	w	h	depth	compression	decoded_bytes	sha256	png_oracle
kma-hogenburg-urban-cartography-brushes.abr	18	6d05d80d-2093-e648-ad95-ce7afeae8ab3	4288	0	56	1	5666	3580	5753	3680	100	87	8	1	8700	21ab4f0fad90eda32ea2765cbec9ebdc4116dc632ac0e55bc9558153cdec97d3	
kma-hogenburg-urban-cartography-brushes.abr	19	38cc753e-b633-3342-93eb-3eb885e71ae4	3340	0	56	1	5562	3518	5639	3584	66	77	8	1	5082	37347a8f487f7e327eb39d08a629f2654082c31eca142e666c95dd8f9e813de3	
kma-hogenburg-urban-cartography-brushes.abr	20	fdf6f2c2-df51-6d48-90dc-0bc6ead8a66a	3063	1	56	1	5242	3461	5315	3513	52	73	8	1	3796	90c76d25d5c2e67c42bcc0e4514cfae8bcee628fce45febd74a830f01271a0e4	
kma-hogenburg-urban-cartography-brushes.abr	21	d7b8462e-18ee-ba45-8664-ed88ba31f1ac	3424	0	56	1	5291	3532	5368	3594	62	77	8	1	4774	18e95c80a915cb25e8edfed0b1181568305af42fc7d4a65e729fec2a85e3a9dd	
kma-hogenburg-urban-cartography-brushes.abr	22	f3ad847e-5573-6041-8e43-1d63602c69b2	4895	1	56	1	3298	3859	3413	3922	63	115	8	1	7245	234616048c0846eff3ae3887fd2da16ae4fe725c225496498d4846fc6054958c	
kma-hogenburg-urban-cartography-brushes.abr	23	92c7238b-c63d-b543-b470-3a5c607202e1	18721	3	56	1	791	526	984	842	316	193	8	1	60988	7f1960cf9b8fcfd2bb522a17ed1e213226208e3609cf71169679ae98225ceda8	
kma-hogenburg-urban-cartography-brushes.abr	24	e3630b33-dc2f-b349-b169-fc8276ba4cd6	52192	0	56	1	5256	938	5735	1457	519	479	8	1	248601	f26585da30432ff3018897998067ee9f4782cca8e81d77a7d3e8856d873c0ff9	
kma-hogenburg-urban-cartography-brushes.abr	25	12f8c5bb-c9b8-414f-9468-680b7b5226e4	77222	2	56	1	5091	2567	5716	3286	719	625	8	1	449375	9d2267e5d645b752266938df0bed7da1e524274d3e7d113e5831577cc2c96cf5	
kma-hogenburg-urban-cartography-brushes.abr	26	37b4e126-7c27-6143-87fc-2714fee0874b	7475	1	56	1	1733	3661	1850	3774	113	117	8	1	13221	46cdfbd73740109c3f6474b2b0048e7e47b4f6ade590cb4d8ecde9a1d5f40b48	
kma-hogenburg-urban-cartography-brushes.abr	27	ee55e0ff-b9d0-5049-b040-ccd3fd9812cc	5060	0	56	1	5688	4114	5791	4180	66	103	8	1	6798	7291cbb7f65726eeba6bd81c1b1e6808725ac00a020bf364a925586a36485f4a	
kma-hogenburg-urban-cartography-brushes.abr	28	b8159e51-566e-0049-8438-45840f220618	3568	0	56	1	5022	3457	5103	3510	53	81	8	1	4293	5e3d2ab6ccbdb46b34cdf9219b6c53ae8846448bae84d5a16d21044cc7aeb847	
kma-hogenburg-urban-cartography-brushes.abr	29	c47ad1f9-d90c-0949-a2f1-c9d8a279f46e	3497	3	56	1	4720	3458	4807	3510	52	87	8	1	4524	9311cba5eed27edde8a408592be3a2c87108eac632bfcbf344439188d172572e	
kma-hogenburg-urban-cartography-brushes.abr	30	646732a8-a422-1d45-9560-3bd65dfd0e94	3993	3	56	1	4208	3625	4304	3688	63	96	8	1	6048	830a6d6b2f859785486a3cb05cd3ff0d60f1fcf67a2d1fefd77afc7591347bad	
kma-hogenburg-urban-cartography-brushes.abr	31	305527d3-975b-8d42-a541-959a255d84b4	2804	0	56	1	4336	3603	4410	3648	45	74	8	1	3330	e89fd920e4df2ec0492e0d1e8343cfa2d322306367995171e9185cae0138ca09	
kma-hogenburg-urban-cartography-brushes.abr	32	d9101cff-d45b-4540-89b8-f572dc05c142	3418	2	56	1	4307	3515	4381	3575	60	74	8	1	4440	4504105833a42c9b79fb299f86e20da5cbf0318fe3d6a99660200a406b906db1	
kma-hogenburg-urban-cartography-brushes.abr	33	2bcf3e27-2d16-4e44-9a95-bf6be236eb71	3860	0	56	1	1840	3427	1916	3500	73	76	8	1	5548	172fcfa1bb2ee253211e159c7881a79dff55b0250aba1826c590bc42c28e336e	
kma-hogenburg-urban-cartography-brushes.abr	34	6c575278-9b86-f642-88ec-10c242b80b74	4233	3	56	1	1976	3421	2061	3501	80	85	8	1	6800	80838c8923e5597c102c815c230dd41bc04376f3b67e6df05c301d0dd482bf89	
kma-hogenburg-urban-cartography-brushes.abr	35	f35b405a-09a9-b342-ae57-9a886a5a53f2	4007	1	56	1	2370	3480	2453	3559	79	83	8	1	6557	6fd031646ef1472860c0b746ccef39d803a7c5964be6c60af1ede14c0ddb3474	
kma-hogenburg-urban-cartography-brushes.abr	36	3e2e66b1-5ba5-3a43-a177-670a02066f69	5437	3	56	1	632	1352	693	1475	123	61	8	1	7503	59d072c9895a6758ed6006273705ea30c928feb9bff7e5db0115f0ba855f1a35	
kma-hogenburg-urban-cartography-brushes.abr	37	281bc7b4-d00f-2b4c-97f5-c736ebd72c68	5597	3	56	1	627	1469	692	1589	120	65	8	1	7800	0e7279cf29a14c040346dc8c05a50641184fda3784b41895ab4db9af065d04b0	
kma-hogenburg-urban-cartography-brushes.abr	38	0ce86f38-504e-584d-8698-87753feb0e23	23425	3	56	1	4481	980	4554	1443	463	73	8	1	33799	fadd0a785c9f23d456d6db63558b5d34ca25a385844454b91be7bfc152a60415	
kma-hogenburg-urban-cartography-brushes.abr	39	fc99d9df-9c67-b84a-a3e9-276f6c0766d0	5417	3	56	1	165	2217	221	2435	218	56	8	1	12208	b29d958a439d8752600e1075d3fd0fd4087518332da7bba58dab6b86c0fa906a	
kma-hogenburg-urban-cartography-brushes.abr	40	2cea17a3-2129-fb4f-b7d9-ee74a4123c77	4450	2	56	1	216	2269	287	2405	136	71	8	1	9656	883dcbc26d7afac2aff1268a3a849746dd0ce90684de52e6387290cc358642eb	
kma-hogenburg-urban-cartography-brushes.abr	41	ca5f644c-1aae-7f40-a85f-6b207fa571f0	13600	0	56	1	346	2048	492	2258	210	146	8	1	30660	1cec7dc43a3b8d7d4d1e1f9e05cca260bb687f85aef1df1423bfb4ffeb8c36cb	
kma-hogenburg-urban-cartography-brushes.abr	42	854d5c90-48a3-0245-a1d4-aac2b107f47e	12936	0	56	1	2247	204	2354	467	263	107	8	1	28141	4dec670651a490f4fe7ff6d15369d0c2ac1d1b011b7764331a7fab0cb29d32e9	
kma-hogenburg-urban-cartography-brushes.abr	43	e34da4f5-83a1-9e4c-ad69-f873b06ab3a9	3873	3	56	1	2240	414	2294	534	120	54	8	1	6480	650b46a5024034c05e4641eb19dd548d512879dcf1623128abb29a3f925d63c8	
kma-hogenburg-urban-cartography-brushes.abr	44	357686c4-1b51-664c-a362-d02b7e49fb55	12364	0	56	1	2078	428	2237	586	158	159	8	1	25122	78aecedca03fa095200c3f34d9f3f98d1f208826e9414e34806dcbd97e90a044	
kma-hogenburg-urban-cartography-brushes.abr	45	02bf3857-7d46-fd4d-b9d3-4723d34e484f	4346	2	56	1	2959	3708	3055	3798	90	96	8	1	8640	e010c8177d73635fe5ffdec7fe733fde7f2217bef123a6d8f2e3c9dd6f553a54	
kma-hogenburg-urban-cartography-brushes.abr	46	6ff2b967-841a-4548-9173-4f8021c77ea0	13573	3	56	1	2808	3723	2939	3900	177	131	8	1	23187	007305d4cabfa35c970562ba0ff22f90152d33ff36d49f092a381aee6aef3d97	
kma-hogenburg-urban-cartography-brushes.abr	47	87b89b01-fdc9-4c48-b933-b2e43ae6008b	19383	1	56	1	2962	3845	3107	4104	259	145	8	1	37555	b29eaeaa53ce202c2fe7a14f1fd795fca51531b0e858236a4213d80dd0dfbbcf	
kma-hogenburg-urban-cartography-brushes.abr	48	246b92d0-2f80-6a4f-b344-6b849bb3ac81	5634	2	56	1	2971	3786	3073	3863	77	102	8	1	7854	1b3b2ab3de814904421a7dea842ba5c93463e2d32705a722b92c8dd153dcc44f	
kma-hogenburg-urban-cartography-brushes.abr	49	8e5ba7fc-0428-9c42-93d3-68796b2ae807	4121	3	56	1	2526	3376	2582	3466	90	56	8	1	5040	8a05d06cd8dce96d4ed4e67c46a7f513d7689d21cdd2353c79763ada2855cd4e	
kma-hogenburg-urban-cartography-brushes.abr	50	39793d69-bc6d-8b48-bded-bc9e7203ba93	4000	0	56	1	2395	3398	2488	3467	69	93	8	1	6417	cc94a2b684e73f19ac0ba3dbd5c1291867612218256f42988ef79e0362e448d8	
kma-hogenburg-urban-cartography-brushes.abr	51	9a5d4442-3e23-dd41-9be1-812c8b727d17	3725	3	56	1	2280	3405	2371	3463	58	91	8	1	5278	7f0f874b5946e76689e078bb425602982965e2a85e806734baed62d4a92f0703	
kma-hogenburg-urban-cartography-brushes.abr	52	85688c21-d14d-8d4f-886e-a892f0216e3c	3415	1	56	1	2271	3352	2351	3424	72	80	8	1	5760	3b3a4f7e27f2560bd1b7419cdca7ee7facd9c777c469c27a9396a61c786ae5f5	
kma-hogenburg-urban-cartography-brushes.abr	53	45511233-1834-4c4c-8794-7f5d003f3e64	3335	1	56	1	2216	3330	2311	3380	50	95	8	1	4750	043bd1618e5aac3f8cbfa71b41cf95ddc26386b138b47e1a79c2ec23b0e2d674	
kma-hogenburg-urban-cartography-brushes.abr	54	eba22cb3-8f05-e648-9bf2-20eefe8aefa8	3064	0	56	1	2192	3428	2290	3468	40	98	8	1	3920	1fa59fc0e5e510912b53440edcb8eb7db5c7045dcde2cb0839462c9e4589d940	
kma-hogenburg-urban-cartography-brushes.abr	55	808fbeb5-121d-6642-ae28-62113eb1cfde	1928	0	56	1	3359	3051	3422	3092	41	63	8	1	2583	42978fa437401802577bdcfe7377613de2744f7476c547898e622ef2f62d82ac	
